"AnimalID" "Samp" "HyPop" "Pop" "St" "Region" "BirthPack" "Reproducti" "IsReproduc" "QI" "SType" "Dt" "NumAmpedLo" "amelogenin" "SRY" "GeneticSex" "MatchedOK" "Str_p_Wolf" "pWolf" "GIS_X" "GIS_Y"
"544" "AP.07XM" "Dinaric" "Dinaric" "Mortality-HR" "Dalmatia (HR)" NA NA FALSE 0.986486 "Tissue" "14.01.1996" 37 "2 2" NA "F" 0 0.998 0.998 630736 -158673
"545" "AP.07XT" "Dinaric" "Dinaric" "Mortality-HR" "Dalmatia (HR)" NA NA FALSE 1 "Tissue" "14.01.1996" 37 "2 2" "1 1" "F" 0 0.998 0.998 630736 -158673
"588" "AP.083T" "Dinaric" "Dinaric" "Mortality-HR" "Dalmatia (HR)" NA NA FALSE 1 "Tissue" "21.06.2009" 37 "1 2" "1 1" "M" 0 0.998 0.997 632704 -164087
"665" "AP.0885" "Dinaric" "Dinaric" "Mortality-HR" "Dalmatia (HR)" NA NA FALSE 0.920635 "Tissue" "20.11.2011" 42 "1 2" "1 1" "M" 0 0.998 0.9946 688582 -218050
"556" "AP.07YU" "Dinaric" "Dinaric" "Mortality-HR" "Dalmatia (HR)" NA NA FALSE 0.873874 "Decomposing Tissue" "15.12.1998" 37 "2 2" NA "F" 0 0.9981 0.9982 602654 -168642
"511" "AP.07T1" "Dinaric" "Dinaric" "Mortality-HR" "Dalmatia (HR)" NA NA FALSE 0.828829 "Decomposing Tissue" "28.02.2008" 37 "1 2" "1 1" "M" 0 0.9914 0.9894 682368 -181304
"645" "AP.0875" "Dinaric" "Dinaric" "Mortality-HR" "Dalmatia (HR)" NA NA FALSE 0.90873 "Tissue" "19.10.2010" 42 "2 2" NA "F" 0 0.9504 0.9636 538593 -103304
"573" "AP.081M" "Dinaric" "Dinaric" "Mortality-HR" "Dalmatia (HR)" NA NA FALSE 1 "Tissue" "27.11.2008" 37 "2 2" NA "F" 0 0.9783 0.9784 546642 -126502
"530" "AP.07UH" "Dinaric" "Dinaric" "Mortality-HR" "Dalmatia (HR)" NA NA FALSE 1 "Tissue" "22.03.2006" 37 "1 2" "1 1" "M" 0 0.9803 0.9912 715088 -231663
"677" "AP.088P" "Dinaric" "Dinaric" "Mortality-HR" "Dalmatia (HR)" NA NA FALSE 0.884921 "Tissue" "28.11.2010" 42 "2 2" NA "F" 0 0.9872 0.9932 657571 -195563
"605" "AP.084T" "Dinaric" "Dinaric" "Mortality-HR" "Dalmatia (HR)" NA NA FALSE 1 "Tissue" "17.03.2009" 37 "1 2" "1 1" "M" 0 0.9874 0.973 531048 -107382
"624" "AP.085U" "Dinaric" "Dinaric" "Mortality-HR" "Dalmatia (HR)" NA NA FALSE 0.914634 "Tissue" "1.11.2012" 41 "2 2" NA "F" 0 0.996 0.992 525500 -102581
"663" "AP.0883" "Dinaric" "Dinaric" "Mortality-HR" "Dalmatia (HR)" NA NA FALSE 0.890873 "Tissue" "29.01.2012" 42 "1 2" "1 1" "M" 0 0.9964 0.99 541429 -101191
"534" "AP.07UT" "Phybrid" "Dinaric" "Mortality-HR" "Dalmatia (HR)" NA NA FALSE 1 "Tissue" "24.12.2005" 37 "1 2" "1 1" "M" 0 0.8833 0.913 651368 -170247
"631" "AP.0864" "Phybrid" "Dinaric" "Mortality-HR" "Dalmatia (HR)" NA NA FALSE 0.914634 "Tissue" "9.12.2012" 41 "2 2" NA "F" 0 0.9303 0.9824 673276 -183082
"742" "AY.0F1M" "Dinaric" "Dinaric" "HR_noninvasive" "Gorski kotar (HR)" NA NA FALSE 0.952703 "Scat" "22.10.2012" 37 "1 2" "1 1" "M" 0 0.997 0.997 502078 -23913
"737" "AX.0E0L" "Dinaric" "Dinaric" "HR_noninvasive" "Gorski kotar (HR)" "Gomance" "-" FALSE 0.941667 "Scat" "22.05.2012" 40 "2 2" NA "F" -1 0.998 0.9986 462701 36797
"736" "AX.0CYK" "Dinaric" "Dinaric" "HR_noninvasive" "Gorski kotar (HR)" NA NA FALSE 0.888158 "Scat" "6.03.2012" 38 "2 2" NA "F" 0 0.998 0.9974 508407 -49681
"720" "AU.0ALU" "Dinaric" "Dinaric" "HR_noninvasive" "Gorski kotar (HR)" "Dalmacija" "Gomance" TRUE 0.855159 "Scat" "10.07.2010" 42 "2 2" NA "F" -1 0.9985 0.9982 464481 35094
"721" "AU.0AMA" "Dinaric" "Dinaric" "HR_noninvasive" "Gorski kotar (HR)" "Gomance" "Gomance2" TRUE 0.702381 "Scat" "26.08.2010" 42 "2 2" NA "F" -1 0.9986 0.9984 461024 41341
"490" "AP.07M6" "Dinaric" "Dinaric" "Mortality" "Gorski kotar (HR)" "Gomance" "-" FALSE 0.914634 "Tissue" "7.01.2012" 41 "1 2" "1 1" "M" 0 0.998 0.9982 458035 39774
"508" "AP.07PK" "Dinaric" "Dinaric" "Mortality-HR" "Gorski kotar (HR)" NA NA FALSE 0.419512 "Decomposing Tissue" "10.05.2008" 41 "1 2" "1 1" "M" 0 0.9939 0.989 479374 28534
"506" "AP.07PH" "Dinaric" "Dinaric" "Mortality-HR" "Gorski kotar (HR)" NA NA FALSE 0.598198 "Decomposing Tissue" "2.04.2004" 37 "1 2" "1 1" "M" 0 0.9821 0.973 499446 -12806
"548" "AP.07Y0" "Dinaric" "Dinaric" "Mortality-HR" "Gorski kotar (HR)" NA NA FALSE 0.536585 "Decomposing Tissue" "10.05.2008" 41 "2 2" "1 1" "F" 0 0.993 0.9928 479374 28534
"517" "AP.07TH" "Dinaric" "Dinaric" "Mortality-HR" "Gorski kotar (HR)" NA NA FALSE 0.711712 "Decomposing Tissue" "5.01.1999" 37 "2 2" NA "F" 0 0.998 0.998 466900 49300
"525" "AP.07U5" "Dinaric" "Dinaric" "Mortality-HR" "Gorski kotar (HR)" NA NA FALSE 0.792793 "Decomposing Tissue" "2.01.2005" 37 "2 2" NA "F" 0 0.9891 0.987 523815 28431
"648" "AP.087C" "Dinaric" "Dinaric" "Mortality-HR" "Gorski kotar (HR)" NA NA FALSE 0.892857 "Tissue" "21.11.2010" 42 "1 2" "1 1" "M" 0 0.99 0.9804 486101 3417
"572" "AP.081L" "Dinaric" "Dinaric" "Mortality-HR" "Gorski kotar (HR)" NA NA FALSE 0.986486 "Tissue" "9.08.2007" 37 "1 2" "1 1" "M" 0 0.9914 0.994 522064 1355
"613" "AP.0855" "Dinaric" "Dinaric" "Mortality-HR" "Gorski kotar (HR)" NA NA FALSE 1 "Tissue" "21.12.2008" 37 "1 2" "1 1" "M" 0 0.9919 0.9824 520370 -22699
